gene_id	log2(fold_change)	q_value	p_value	significant	value_1	value_2
YER188W	-0.0402268	0.530818	0.47815	no	33.3409	32.4241
YER189W	-0.226332	0.555036	0.50285	no	16.7047	14.2793
YER190C-A	0.112039	0.403344	0.3513	no	84.5463	91.3737
YER190C-B	0.993923	9.44412e-05	5e-05	yes	39.7953	79.256
YER190W	0.431597	9.44412e-05	5e-05	yes	16.6084	22.4001
YFL001W	-0.200861	9.44412e-05	5e-05	yes	29.0579	25.2813
YFL002C	0.0511142	0.299277	0.25215	no	34.9957	36.2578
YFL002W-A	-1.22861	9.44412e-05	5e-05	yes	23.6995	10.1133
YFL002W-B	inf	1	1	no	0	2.56032
YFL003C	0.279293	0.000867507	0.0005	yes	2.60286	3.15883
YFL004W	-0.694799	9.44412e-05	5e-05	yes	77.1581	47.6679
YFL005W	0.00874043	0.863751	0.83985	no	491.29	494.276
YFL007W	-0.293541	9.44412e-05	5e-05	yes	28.8992	23.5788
YFL008W	0.561552	9.44412e-05	5e-05	yes	15.9972	23.6096
YFL009W	0.0469291	0.321098	0.27245	no	37.7052	38.9519
YFL010C	0.0685086	0.234508	0.19335	no	555.535	582.552
YFL010W-A	0.433395	0.000273377	0.00015	yes	637.433	860.795
YFL011W	-0.00828425	0.95145	0.94345	no	1.61197	1.60274
YFL012W	0.360981	0.0255395	0.01775	yes	3.65304	4.69159
YFL012W-A	-0.0822299	0.868401	0.8453	no	7.50966	7.0936
YFL013C	0.0310045	0.620435	0.57225	no	39.7961	40.6606
YFL013W-A	0.677553	9.44412e-05	5e-05	yes	44.5019	71.1775
YFL014W	-1.81868	9.44412e-05	5e-05	yes	66.6643	18.898
YFL015C	1.48052	9.44412e-05	5e-05	yes	1.61165	4.49731
YFL015W-A	0.40196	1	1	no	0.262876	0.347339
YFL016C	-0.302965	9.44412e-05	5e-05	yes	123.348	99.9841
YFL017C	0.122636	0.0107167	0.00705	yes	140.809	153.302
YFL017W-A	0.486338	9.44412e-05	5e-05	yes	359.807	504.049
YFL018C	0.0140741	0.786308	0.75325	no	269.344	271.985
YFL019C	1.17037	9.44412e-05	5e-05	yes	5.85162	13.1702
YFL020C	1.15159	9.44412e-05	5e-05	yes	11.7107	26.0164
YFL021C-A	1.4733	9.44412e-05	5e-05	yes	8.59698	23.8701
YFL021W	-0.0438959	0.422815	0.37065	no	43.0983	41.8067
YFL022C	-0.36092	9.44412e-05	5e-05	yes	229.1	178.393
YFL023W	-0.969696	9.44412e-05	5e-05	yes	19.5387	9.97672
YFL024C	0.0677848	0.143401	0.1133	no	31.2265	32.7287
YFL025C	-0.189369	9.44412e-05	5e-05	yes	14.2432	12.4911
YFL026W	-0.811802	9.44412e-05	5e-05	yes	245.326	139.755
YFL027C	0.136817	0.00515977	0.00325	yes	25.3868	27.9122
YFL028C	0.109662	0.0159193	0.01075	yes	93.7177	101.119
YFL029C	0.115469	0.0109926	0.00725	yes	79.1532	85.7488
YFL030W	0.549471	9.44412e-05	5e-05	yes	26.8444	39.288
YFL031C-A	0.173651	0.485188	0.4323	no	6436.61	7259.92
YFL031W	-0.285852	9.44412e-05	5e-05	yes	512.948	420.749
YFL032W	-0.581898	0.031771	0.02245	yes	105.465	70.4595
YFL033C	-0.206044	9.44412e-05	5e-05	yes	21.4804	18.6216
YFL034C-A	-0.526624	9.44412e-05	5e-05	yes	311.609	216.312
YFL034C-B	0.00944438	0.862766	0.8381	no	60.4148	60.8116
YFL034W	0.18647	9.44412e-05	5e-05	yes	28.0417	31.9107
YFL036W	-0.226469	9.44412e-05	5e-05	yes	41.161	35.1813
YFL037W	-0.126184	0.00826703	0.00535	yes	413.491	378.861
YFL038C	0.165235	0.000867507	0.0005	yes	1420.73	1593.13
YFL039C	0.0442784	0.511082	0.45795	no	2224.25	2293.57
YFL040W	0.637036	9.44412e-05	5e-05	yes	7.74123	12.0386
YFL041W	0.409211	9.44412e-05	5e-05	yes	62.0269	82.3691
YFL041W-A	0.760932	9.44412e-05	5e-05	yes	179.912	304.877
YFL042C	0.245408	9.44412e-05	5e-05	yes	66.298	78.5915
YFL044C	-0.240181	9.44412e-05	5e-05	yes	63.7976	54.0136
YFL045C	-0.346927	9.44412e-05	5e-05	yes	661.351	519.992
YFL046W	0.203617	9.44412e-05	5e-05	yes	79.4724	91.519
YFL047W	-0.112146	0.0175153	0.0119	yes	24.5953	22.7559
YFL048C	0.11752	0.00752999	0.00485	yes	99.1072	107.518
YFL049W	0.40171	9.44412e-05	5e-05	yes	36.5567	48.2941
YFL050C	0.022474	0.669385	0.62405	no	17.0099	17.2769
YFL051C	-0.22639	0.00409515	0.00255	yes	32.6231	27.8853
YFL052W	-0.830946	9.44412e-05	5e-05	yes	19.2608	10.8277
YFL053W	-0.955644	9.44412e-05	5e-05	yes	9.467	4.88129
YFL054C	1.29193	9.44412e-05	5e-05	yes	34.2195	83.7883
YFL055W	0.492015	9.44412e-05	5e-05	yes	10.5202	14.7957
YFL056C	0.102215	0.128648	0.1007	no	30.2735	32.4962
YFL057C	0.415064	9.44412e-05	5e-05	yes	60.4755	80.6355
YFL058W	1.96514	9.44412e-05	5e-05	yes	2.56855	10.0289
YFL059W	0.990003	9.44412e-05	5e-05	yes	23.6672	47.0076
YFL060C	0.923712	9.44412e-05	5e-05	yes	19.4017	36.8048
YFL061W	0.206051	0.018296	0.01245	yes	12.503	14.4225
YFL062W	0.237246	9.44412e-05	5e-05	yes	33.5854	39.5885
YFL063W	1.14125	1	1	no	0.154671	0.341161
YFL064C	-0.251693	0.0338522	0.02405	yes	12.6543	10.6285
YFL065C	-0.247136	0.192204	0.15565	no	17.2008	14.4929
YFL066C	0.0240462	0.706532	0.66365	no	18.2317	18.5381
YFL067W	0.223715	9.44412e-05	5e-05	yes	60.9889	71.219
YFL068W	0.822052	9.44412e-05	5e-05	yes	91.5177	161.796
YFR001W	0.0350984	0.4844	0.43145	no	145.087	148.66
YFR002W	-0.141267	0.00127754	0.00075	yes	38.2007	34.6374
YFR003C	0.305079	9.44412e-05	5e-05	yes	222.729	275.179
YFR004W	0.0532131	0.263055	0.2193	no	396.209	411.096
YFR005C	-0.210491	9.44412e-05	5e-05	yes	33.4398	28.9001
YFR006W	0.143692	0.000867507	0.0005	yes	81.0163	89.501
YFR007W	-0.280631	9.44412e-05	5e-05	yes	30.1188	24.7947
YFR008W	0.0531209	0.414321	0.362	no	33.3605	34.6118
YFR009W	-0.285818	9.44412e-05	5e-05	yes	117.068	96.0282
YFR009W-A	-0.0773415	1	1	no	100.169	94.9408
YFR010W	0.11838	0.00871208	0.00565	yes	128.699	139.705
YFR010W-A	0.840096	9.44412e-05	5e-05	yes	156.623	280.382
YFR011C	0.184987	0.000447034	0.00025	yes	99.2417	112.819
YFR012W	1.06419	9.44412e-05	5e-05	yes	2.70881	5.66412
YFR012W-A	1.55536	9.44412e-05	5e-05	yes	141.941	417.174
YFR013W	0.166528	9.44412e-05	5e-05	yes	42.0415	47.1855
YFR014C	-0.053123	0.252532	0.2096	no	133.285	128.466
YFR015C	-3.0788	9.44412e-05	5e-05	yes	552.062	65.3399
YFR016C	0.140835	0.00176239	0.00105	yes	38.8851	42.8725
YFR017C	-0.169672	0.000273377	0.00015	yes	403.945	359.125
YFR018C	0.136188	0.00152038	0.0009	yes	141.007	154.967
YFR019W	-0.0685008	0.142281	0.11235	no	10.1562	9.68525
YFR020W	0.145064	0.00160195	0.00095	yes	83.8786	92.7512
YFR021W	-0.11606	0.0124748	0.0083	yes	45.5507	42.0298
YFR022W	0.00318208	0.951093	0.94295	no	20.582	20.6275
YFR023W	0.681143	1	1	no	0.562338	0.901657
YFR024C-A	0.394737	9.44412e-05	5e-05	yes	169.577	222.943
YFR025C	0.38848	9.44412e-05	5e-05	yes	82.7848	108.366
YFR026C	0.872453	9.44412e-05	5e-05	yes	17.0396	31.1957
YFR027W	0.799392	9.44412e-05	5e-05	yes	23.4964	40.8924
YFR028C	0.0215676	0.661239	0.61595	no	54.4075	55.227
YFR029W	0.296417	9.44412e-05	5e-05	yes	22.8466	28.0578
YFR030W	1.04539	9.44412e-05	5e-05	yes	19.1385	39.5004
YFR031C	0.370397	9.44412e-05	5e-05	yes	19.9814	25.8302
YFR031C-A	-0.40393	9.44412e-05	5e-05	yes	3628.44	2742.36
YFR032C	-0.431107	9.44412e-05	5e-05	yes	10.4854	7.77697
YFR032C-A	-0.188448	9.44412e-05	5e-05	yes	38244.3	33561.3
YFR032C-B	0.109138	0.570416	0.5194	no	10.5159	11.3423
YFR033C	0.334104	9.44412e-05	5e-05	yes	526.949	664.269
YFR034C	0.120221	0.0111262	0.00735	yes	69.2951	75.3169
YFR034W-A	0.857005	0.0788466	0.05915	no	3.38222	6.12612
YFR035C	0.839112	9.44412e-05	5e-05	yes	124.251	222.278
YFR036W	0.106385	0.113877	0.08825	no	75.5416	81.3226
YFR036W-A	0.316254	0.00247203	0.0015	yes	203.066	252.836
YFR037C	-0.249123	9.44412e-05	5e-05	yes	175.042	147.281
YFR038W	0.188575	9.44412e-05	5e-05	yes	21.0433	23.9817
YFR039C	0.227914	9.44412e-05	5e-05	yes	37.671	44.1181
YFR040W	-0.0387259	0.412636	0.36015	no	70.5102	68.6427
YFR041C	0.444373	9.44412e-05	5e-05	yes	82.1274	111.753
YFR042W	0.492588	9.44412e-05	5e-05	yes	63.8722	89.8661
YFR043C	0.212778	0.000532366	0.0003	yes	29.2972	33.9531
YFR044C	-0.1032	0.0249195	0.0173	yes	243.116	226.332
YFR045W	0.0305724	0.554412	0.5022	no	56.5118	57.7221
YFR046C	0.307113	9.44412e-05	5e-05	yes	33.1516	41.0162
YFR047C	0.3895	9.44412e-05	5e-05	yes	173.581	227.381
YFR048W	0.0844157	0.0843616	0.0637	no	22.4363	23.7883
YFR049W	0.129725	0.00716737	0.0046	yes	300.541	328.818
YFR050C	-0.0740363	0.109513	0.0846	no	390.446	370.915
YFR051C	-0.176603	9.44412e-05	5e-05	yes	200.669	177.548
YFR052C-A	-1.34028	9.44412e-05	5e-05	yes	1333.3	526.577
YFR052W	0.201005	9.44412e-05	5e-05	yes	219.299	252.084
YFR053C	-1.97325	9.44412e-05	5e-05	yes	1076.81	274.239
YFR054C	0.336496	0.0100678	0.0066	yes	4.80438	6.06642
YFR055W	-2.08866	9.44412e-05	5e-05	yes	224.547	52.7908
YFR056C	-1.55435	9.44412e-05	5e-05	yes	43.7886	14.9093
YFR057W	1.73658	1	1	no	0.0348602	0.116169
YGL001C	-0.158588	0.000360088	0.0002	yes	199.414	178.656
YGL002W	0.342204	9.44412e-05	5e-05	yes	105.518	133.764
YGL003C	0.272486	9.44412e-05	5e-05	yes	51.0106	61.615
YGL004C	0.371924	9.44412e-05	5e-05	yes	38.1205	49.3309
YGL005C	0.285456	9.44412e-05	5e-05	yes	58.9218	71.8136
YGL006W	-0.00440017	0.93152	0.9196	no	81.7411	81.4922
YGL006W-A	0.475992	0.218155	0.1786	no	37.5132	52.1761
YGL007C-A	2.77357	9.44412e-05	5e-05	yes	90.6847	620.099
YGL007W	1.25577	9.44412e-05	5e-05	yes	5.28285	12.6152
YGL008C	0	1	1	no	0	711.596
YGL009C	-0.261705	9.44412e-05	5e-05	yes	205.025	171.012
YGL010W	0.414643	9.44412e-05	5e-05	yes	64.8141	86.3951
YGL011C	0.0522114	0.272442	0.22775	no	495.952	514.229
YGL012W	0.194441	9.44412e-05	5e-05	yes	353.929	404.994
YGL013C	0.00905175	0.862891	0.83875	no	17.6682	17.7794
YGL014C-A	-2.20853	0.0824256	0.06215	no	36.0127	7.79151
YGL014W	-0.0333205	0.49192	0.4387	no	61.9383	60.5241
YGL015C	0.754288	1	1	no	1.36371	2.30031
YGL016W	-0.443596	9.44412e-05	5e-05	yes	13.5458	9.96021
YGL017W	0.192147	9.44412e-05	5e-05	yes	36.4763	41.6728
YGL018C	-0.052612	0.370892	0.3202	no	64.0778	61.7831
YGL019W	-0.0812582	0.0736164	0.0549	no	265.62	251.073
YGL020C	0.183177	9.44412e-05	5e-05	yes	205.738	233.591
YGL021W	0.316219	9.44412e-05	5e-05	yes	20.2706	25.2382
YGL022W	0.0104329	0.846088	0.8197	no	222.355	223.968
YGL023C	0.367573	9.44412e-05	5e-05	yes	103.651	133.729
YGL024W	-0.0367137	0.901173	0.8834	no	18.9006	18.4257
YGL025C	-0.0228682	0.652272	0.6066	no	67.4798	66.4186
YGL026C	0.274225	9.44412e-05	5e-05	yes	199.687	241.491
YGL027C	0.553659	9.44412e-05	5e-05	yes	71.8039	105.394
YGL028C	-1.67434	9.44412e-05	5e-05	yes	94.8085	29.7045
YGL029W	-0.626974	9.44412e-05	5e-05	yes	264.284	171.133
YGL030W	-0.311042	9.44412e-05	5e-05	yes	19183.6	15463.1
YGL031C	-0.249263	9.44412e-05	5e-05	yes	2668.67	2245.22
YGL032C	0.0551985	0.415819	0.3635	no	201.744	209.613
YGL033W	0.565495	1	1	no	1.08108	1.59988
YGL034C	1.83361	9.44412e-05	5e-05	yes	4.15921	14.8246
YGL035C	0.552737	9.44412e-05	5e-05	yes	129.406	189.821
YGL036W	0.268738	9.44412e-05	5e-05	yes	48.7661	58.7512
YGL037C	-0.363331	9.44412e-05	5e-05	yes	2418.69	1880.21
YGL038C	0.0899337	0.0466919	0.0339	yes	84.9129	90.3746
YGL039W	-0.212928	9.44412e-05	5e-05	yes	105.088	90.668
YGL040C	-0.481739	9.44412e-05	5e-05	yes	250.721	179.545
YGL041C	0.352982	0.0521334	0.03805	no	130.677	166.901
YGL041C-B	0.0714086	0.75797	0.7217	no	127.863	134.351
YGL041W-A	0.122324	0.0430803	0.0311	yes	91.4613	99.5544
YGL042C	0.228189	0.0328814	0.0233	yes	177.08	207.425
YGL043W	-0.0691795	0.205825	0.16775	no	99.8665	95.1908
YGL044C	-0.221177	9.44412e-05	5e-05	yes	86.2023	73.95
YGL045W	0.296076	9.44412e-05	5e-05	yes	22.4979	27.6229
YGL047W	0.525661	9.44412e-05	5e-05	yes	99.2976	142.948
YGL048C	0.0655998	0.164244	0.1313	no	315.572	330.253
YGL049C	0.119343	0.00745767	0.0048	yes	67.6631	73.4984
YGL050W	-0.299584	9.44412e-05	5e-05	yes	57.6289	46.8227
YGL051W	-0.0172851	0.812377	0.7817	no	37.8354	37.3848
YGL052W	0.169171	0.11922	0.0927	no	69.505	78.1523
YGL053W	0.21253	9.44412e-05	5e-05	yes	80.7521	93.5689
YGL054C	-0.0672598	0.143915	0.11375	no	427.99	408.494
YGL055W	-0.55271	9.44412e-05	5e-05	yes	990.088	674.981
YGL056C	-0.0920073	0.0435282	0.03145	yes	71.6034	67.1795
YGL057C	0.199677	0.00239446	0.00145	yes	19.2128	22.0648
YGL058W	-0.0604095	0.211811	0.17305	no	158.476	151.978
YGL059W	-0.122103	0.0114887	0.0076	yes	32.506	29.868
YGL060W	-0.117794	0.018504	0.0126	yes	18.5366	17.0832
YGL061C	0.163234	0.00687375	0.0044	yes	30.2488	33.8724
YGL062W	0.635374	9.44412e-05	5e-05	yes	56.2739	87.4125
YGL063C-A	0.541428	0.473955	0.42135	no	18.221	26.5191
YGL063W	-0.0844647	0.0987161	0.07555	no	40.9228	38.5957
YGL064C	-0.246409	9.44412e-05	5e-05	yes	14.3417	12.09
YGL065C	0.162977	0.000360088	0.0002	yes	30.9858	34.6915
YGL066W	-0.106204	0.0179407	0.0122	yes	41.3922	38.4546
YGL067W	0.00210619	0.967387	0.9629	no	56.6174	56.7001
YGL068W	-0.503847	9.44412e-05	5e-05	yes	232.596	164.033
YGL069C	-0.93333	9.44412e-05	5e-05	yes	171.855	89.9918
YGL070C	-0.311946	9.44412e-05	5e-05	yes	248.385	200.087
YGL071W	0.0675833	0.147447	0.1167	no	35.1591	36.8453
YGL072C	0.961459	9.44412e-05	5e-05	yes	54.5694	106.262
YGL073W	0.265477	9.44412e-05	5e-05	yes	57.7619	69.4318
YGL074C	-0.421159	0.107332	0.0828	no	54.3671	40.6027
YGL075C	0.212455	0.000273377	0.00015	yes	14.9639	17.338
YGL076C	-0.380168	9.44412e-05	5e-05	yes	3242.9	2491.67
YGL077C	-0.327318	9.44412e-05	5e-05	yes	133.019	106.019
YGL078C	-0.931984	9.44412e-05	5e-05	yes	139.998	73.3779
YGL079W	0.0507514	0.379815	0.3286	no	48.5704	50.3094
YGL080W	0.253827	9.44412e-05	5e-05	yes	283.487	338.021
YGL081W	0.508291	9.44412e-05	5e-05	yes	8.35324	11.8813
YGL082W	0.0149733	0.759883	0.7244	no	109.357	110.497
YGL083W	-0.306754	9.44412e-05	5e-05	yes	24.1961	19.5616
YGL084C	0.148274	0.00119611	0.0007	yes	53.6576	59.4656
YGL085W	0.225401	9.44412e-05	5e-05	yes	36.3321	42.476
YGL086W	0.0361897	0.464693	0.41205	no	32.0677	32.8823
YGL087C	0.385458	9.44412e-05	5e-05	yes	171.824	224.45
YGL088W	-0.319319	1	1	no	0.117264	0.093981
YGL089C	0.519966	9.44412e-05	5e-05	yes	48.5523	69.6202
YGL090W	0.256505	9.44412e-05	5e-05	yes	20.7459	24.7827
YGL091C	0.143045	0.00340508	0.0021	yes	48.8416	53.9325
YGL092W	-0.288508	9.44412e-05	5e-05	yes	33.968	27.8112
YGL093W	0.12594	0.00560206	0.00355	yes	25.3918	27.708
YGL094C	-0.147806	0.00135741	0.0008	yes	25.8743	23.3547
YGL095C	0.0903236	0.0482352	0.03505	yes	52.5962	55.9944
YGL096W	-0.812045	9.44412e-05	5e-05	yes	34.5697	19.69
YGL097W	-0.0747062	0.102964	0.0791	no	120.064	114.005
YGL098W	0.115775	0.0171007	0.0116	yes	68.7837	74.5311
YGL099W	-0.472114	9.44412e-05	5e-05	yes	61.9324	44.6476
YGL100W	0.0220284	0.647695	0.60165	no	106.638	108.278
YGL101W	-0.373491	9.44412e-05	5e-05	yes	81.6762	63.0469
YGL102C	0.308541	0.153425	0.1219	no	1386.12	1716.65
YGL103W	-0.378176	9.44412e-05	5e-05	yes	7629.51	5870.22
YGL104C	0.100163	0.0446888	0.03235	yes	29.5902	31.7176
YGL105W	-0.0193581	0.714984	0.6729	no	568.918	561.335
YGL106W	0.042353	0.379921	0.32875	no	838.206	863.178
YGL107C	-0.190215	9.44412e-05	5e-05	yes	30.5588	26.784
YGL108C	-0.14112	0.0565288	0.0415	no	72.7948	66.0114
YGL109W	-0.0252422	0.822141	0.79185	no	70.7987	69.5707
YGL110C	0.271191	9.44412e-05	5e-05	yes	31.4506	37.9548
YGL111W	-0.397462	9.44412e-05	5e-05	yes	57.5097	43.6609
YGL112C	-0.207425	9.44412e-05	5e-05	yes	55.5205	48.0853
YGL113W	0.0696134	0.192528	0.156	no	13.7144	14.3924
YGL114W	0.163873	0.00018467	0.0001	yes	39.5289	44.2838
YGL115W	-0.36353	9.44412e-05	5e-05	yes	136.092	105.779
YGL116W	0.120632	0.00906552	0.0059	yes	29.1483	31.6904
YGL117W	0.182162	9.44412e-05	5e-05	yes	85.6079	97.1292
YGL118C	0.148971	1	1	no	0.493033	0.546665
YGL119W	-0.088883	0.0696782	0.05175	no	30.3367	28.5241
YGL120C	-0.935239	9.44412e-05	5e-05	yes	83.0876	43.4512
YGL121C	-0.604539	9.44412e-05	5e-05	yes	48.8901	32.1541
YGL122C	-0.428552	9.44412e-05	5e-05	yes	212.139	157.621
YGL123C-A	0	1	1	no	0	0
YGL123W	0	1	1	no	0	0
YGL124C	0.205133	9.44412e-05	5e-05	yes	21.8276	25.1627
YGL125W	0.0947279	0.043579	0.0315	yes	47.2264	50.4314
YGL126W	0.399065	9.44412e-05	5e-05	yes	190.998	251.859
YGL127C	0.433482	9.44412e-05	5e-05	yes	162.948	220.06
YGL128C	0.130247	0.0173759	0.0118	yes	34.5528	37.8174
YGL129C	-0.173513	9.44412e-05	5e-05	yes	46.9296	41.6116
YGL130W	0.226148	9.44412e-05	5e-05	yes	49.5533	57.9629
YGL131C	-0.615009	9.44412e-05	5e-05	yes	10.6456	6.9508
YGL132W	0.0547353	0.76392	0.729	no	31.5952	32.8169
YGL133W	-0.000900273	0.984857	0.98285	no	19.7106	19.6983
YGL134W	0.076828	0.121705	0.0948	no	33.6989	35.5421
YGL135W	-0.297269	9.44412e-05	5e-05	yes	3724.84	3031.24
YGL136C	0.261877	9.44412e-05	5e-05	yes	27.0423	32.4248
YGL137W	0.00230258	0.963145	0.95755	no	119.614	119.805
YGL138C	0.419715	1	1	no	0.286334	0.383019
YGL139W	-0.0601334	0.200458	0.1631	no	37.096	35.5816
YGL140C	-0.0334451	0.49192	0.43875	no	30.2718	29.5781
YGL141W	0.0367138	0.465298	0.4128	no	21.9413	22.5069
YGL142C	0.0192158	0.716673	0.6746	no	26.7625	27.1214
YGL143C	-0.191298	9.44412e-05	5e-05	yes	36.7207	32.1606
YGL144C	-0.00766326	0.896221	0.87745	no	14.9958	14.9163
YGL145W	-0.253768	9.44412e-05	5e-05	yes	19.8913	16.6829
YGL146C	0.518644	9.44412e-05	5e-05	yes	14.5122	20.7903
YGL147C	-0.647989	9.44412e-05	5e-05	yes	4832.02	3083.65
YGL148W	-0.27708	9.44412e-05	5e-05	yes	601.719	496.575
YGL149W	-1.12078	0.0392962	0.0282	yes	18.2659	8.3995
YGL150C	-0.166699	9.44412e-05	5e-05	yes	37.6511	33.5426
YGL151W	-0.0554163	0.230855	0.18995	no	28.0982	27.0394
YGL152C	0.76676	9.44412e-05	5e-05	yes	17.4552	29.699
YGL153W	0.197491	0.000447034	0.00025	yes	40.2085	46.1072
YGL154C	0.300977	9.44412e-05	5e-05	yes	43.8915	54.0733
YGL155W	-0.334768	9.44412e-05	5e-05	yes	55.8084	44.2511
YGL156W	0.833084	9.44412e-05	5e-05	yes	12.5725	22.3978
YGL157W	-0.317416	9.44412e-05	5e-05	yes	166.153	133.339
YGL158W	0.561228	9.44412e-05	5e-05	yes	24.4534	36.0815
YGL159W	-0.189894	0.000360088	0.0002	yes	33.775	29.6095
YGL160W	0.208486	9.44412e-05	5e-05	yes	35.989	41.5844
YGL161C	0.218066	9.44412e-05	5e-05	yes	213.368	248.184
YGL162W	-1.48008	9.44412e-05	5e-05	yes	110.295	39.5373
YGL163C	0.566289	9.44412e-05	5e-05	yes	21.8868	32.4079
YGL164C	0.121983	0.00694854	0.00445	yes	60.8598	66.2295
YGL165C	0.567318	9.44412e-05	5e-05	yes	41.5775	61.6081
YGL166W	0.073051	0.251313	0.20855	no	115.891	121.91
YGL167C	0.185809	0.000447034	0.00025	yes	86.6183	98.5244
YGL168W	0.802448	9.44412e-05	5e-05	yes	370.612	646.369
YGL169W	-0.641242	9.44412e-05	5e-05	yes	44.7633	28.7005
YGL170C	-0.74942	9.44412e-05	5e-05	yes	1.7153	1.02033
YGL171W	-1.26246	9.44412e-05	5e-05	yes	26.7405	11.1463
YGL172W	-0.0406046	0.389441	0.338	no	91.3394	88.8045
YGL173C	-0.14614	0.00135741	0.0008	yes	78.728	71.1438
YGL174W	0.491398	9.44412e-05	5e-05	yes	28.9524	40.7015
YGL175C	-0.235233	0.0150351	0.0101	yes	6.30121	5.35318
YGL176C	0.167809	0.000867507	0.0005	yes	20.5928	23.133
YGL177W	-0.176741	0.717823	0.67645	no	5.77008	5.10479
YGL178W	-0.359362	9.44412e-05	5e-05	yes	31.5292	24.5773
YGL179C	-0.514653	9.44412e-05	5e-05	yes	40.0479	28.0319
YGL180W	0.23908	9.44412e-05	5e-05	yes	15.7134	18.5456
YGL181W	0.318655	9.44412e-05	5e-05	yes	161.81	201.804
YGL182C	0.433832	0.195786	0.15885	no	2.84966	3.84937
YGL183C	1.31051	9.44412e-05	5e-05	yes	1.67932	4.1652
YGL184C	0.0226524	0.764007	0.7292	no	13.9584	14.1793
YGL185C	0.513131	9.44412e-05	5e-05	yes	29.6802	42.3579
YGL186C	-0.583453	9.44412e-05	5e-05	yes	94.4902	63.0594
YGL187C	-0.0262918	0.602845	0.5528	no	221.692	217.688
YGL188C	0.113094	0.645968	0.5997	no	24.9914	27.0293
YGL188C-A	0.236132	0.163024	0.1302	no	117.396	138.272
YGL189C	-0.129115	0.0215318	0.0148	yes	8314.1	7602.34
YGL190C	0.0391554	0.403128	0.35105	no	108.176	111.152
YGL191W	0.287095	9.44412e-05	5e-05	yes	443.335	540.949
YGL192W	0.0132845	0.789623	0.75715	no	47.7539	48.1957
YGL193C	0.677517	9.44412e-05	5e-05	yes	126.274	201.961
YGL194C	-0.0393237	0.536805	0.4842	no	15.9524	15.5235
YGL194C-A	0.230454	0.0263819	0.0184	yes	67.9708	79.7436
YGL195W	-0.283587	9.44412e-05	5e-05	yes	54.1387	44.4774
YGL196W	-0.552971	9.44412e-05	5e-05	yes	90.2172	61.4934
YGL197W	-0.208054	9.44412e-05	5e-05	yes	31.4754	27.2484
YGL198W	0.31071	9.44412e-05	5e-05	yes	307.985	381.999
YGL199C	-0.651774	0.00485521	0.00305	yes	75.1695	47.8452
YGL200C	0.215472	9.44412e-05	5e-05	yes	793.271	921.054
YGL201C	0.148686	0.000949974	0.00055	yes	29.9686	33.2219
YGL202W	-0.076868	0.109922	0.08495	no	312.059	295.867
YGL203C	0.0537192	0.245438	0.2033	no	71.8792	74.6061
YGL204C	-0.536737	9.44412e-05	5e-05	yes	53.5531	36.9157
YGL205W	-0.347767	9.44412e-05	5e-05	yes	8.0589	6.33268
YGL206C	-0.19808	9.44412e-05	5e-05	yes	47.5877	41.4827
YGL207W	0.11539	0.0110633	0.0073	yes	75.6438	81.9426
YGL208W	0.383252	9.44412e-05	5e-05	yes	49.4778	64.5329
YGL209W	-0.294742	9.44412e-05	5e-05	yes	241.667	197.011
YGL210W	0.10418	0.0236857	0.0164	yes	122.457	131.627
YGL211W	-0.154774	0.000447034	0.00025	yes	79.8367	71.7151
YGL212W	-0.282518	9.44412e-05	5e-05	yes	28.4674	23.4046
YGL213C	-0.170335	0.00262889	0.0016	yes	63.9101	56.7929
YGL214W	0.51589	9.44412e-05	5e-05	yes	70.3685	100.618
YGL215W	-0.312304	9.44412e-05	5e-05	yes	126.735	102.066
YGL216W	0.176681	9.44412e-05	5e-05	yes	22.5207	25.4547
YGL217C	-0.644023	0.169669	0.136	no	6.6082	4.22876
YGL218W	-0.311452	0.325051	0.2764	no	6.91441	5.57184
YGL219C	0.191326	9.44412e-05	5e-05	yes	75.2325	85.9014
YGL220W	-0.173743	9.44412e-05	5e-05	yes	565.871	501.667
YGL221C	-0.263973	9.44412e-05	5e-05	yes	195.175	162.54
YGL222C	0.375772	9.44412e-05	5e-05	yes	42.849	55.598
YGL223C	0.0698215	0.149101	0.1181	no	39.9866	41.9694
YGL224C	-0.364834	9.44412e-05	5e-05	yes	89.5283	69.524
YGL225W	-0.260456	9.44412e-05	5e-05	yes	307.438	256.656
YGL226C-A	0.122302	0.00970679	0.00635	yes	711.718	774.684
YGL226W	0.301667	9.44412e-05	5e-05	yes	163.731	201.809
YGL227W	0.20191	9.44412e-05	5e-05	yes	41.7618	48.0353
YGL228W	0.132028	0.00325747	0.002	yes	123.196	135.002
YGL229C	-0.29546	9.44412e-05	5e-05	yes	13.9087	11.333
YGL230C	0.493163	0.000273377	0.00015	yes	6.52804	9.1884
YGL231C	-0.186572	9.44412e-05	5e-05	yes	354.94	311.883
YGL232W	-0.0388835	0.430925	0.37855	no	77.5218	75.4603
YGL233W	0.0790913	0.0843616	0.0637	no	28.6751	30.291
YGL234W	-1.06815	9.44412e-05	5e-05	yes	254.782	121.513
YGL235W	-2.34822	0.000532366	0.0003	yes	3.43002	0.673615
YGL236C	-0.651419	9.44412e-05	5e-05	yes	25.4973	16.2329
YGL237C	0.355672	9.44412e-05	5e-05	yes	71.9024	92.0049
YGL238W	-0.220675	9.44412e-05	5e-05	yes	48.3764	41.5149
