gene_id	log2(fold_change)	q_value	p_value	significant	value_1	value_2
YJL088W	0.192158	0.0875344	0.06635	no	3.54519	4.05028
YJL089W	-0.203173	1	1	no	0.744467	0.646673
YJL090C	-0.110756	0.0303836	0.0214	yes	14.3372	13.2777
YJL091C	-0.0195387	0.71778	0.6763	no	25.6403	25.2954
YJL092W	0.0109377	0.826954	0.7976	no	21.8166	21.9827
YJL093C	-0.0280898	0.566528	0.5156	no	48.4885	47.5536
YJL094C	0.129552	0.00447139	0.0028	yes	29.7934	32.5926
YJL095W	0.0814671	0.0819949	0.06175	no	14.0636	14.8806
YJL096W	-0.142536	0.00348356	0.00215	yes	118.712	107.544
YJL097W	0.0685383	0.140001	0.1104	no	190.07	199.318
YJL098W	-0.339883	9.44412e-05	5e-05	yes	15.252	12.0507
YJL099W	-0.0686367	0.158691	0.1264	no	22.7275	21.6716
YJL100W	0.356792	9.44412e-05	5e-05	yes	32.0947	41.0997
YJL101C	-0.917782	9.44412e-05	5e-05	yes	83.4527	44.1734
YJL102W	0.0896212	0.0923543	0.0703	no	11.8996	12.6622
YJL103C	0.718317	9.44412e-05	5e-05	yes	11.6185	19.1155
YJL104W	-0.423219	9.44412e-05	5e-05	yes	228.881	170.69
YJL105W	-0.0514335	0.469539	0.41685	no	8.92067	8.60824
YJL106W	0.599506	9.44412e-05	5e-05	yes	14.8937	22.5669
YJL107C	-0.830503	9.44412e-05	5e-05	yes	22.7959	12.8189
YJL108C	-0.314908	9.44412e-05	5e-05	yes	60.8849	48.9455
YJL109C	-0.865513	9.44412e-05	5e-05	yes	23.5651	12.9338
YJL110C	0.297987	9.44412e-05	5e-05	yes	26.1999	32.2109
YJL111W	-0.0860811	0.0658558	0.04875	no	246.919	232.617
YJL112W	0.0136159	0.783102	0.7497	no	35.9733	36.3144
YJL113W	-0.497455	9.44412e-05	5e-05	yes	2.23243	1.58135
YJL114W	-0.655015	1	1	no	0.95232	0.604788
YJL115W	0.64169	9.44412e-05	5e-05	yes	122.454	191.047
YJL116C	0.0623451	0.259873	0.21625	no	29.8532	31.1715
YJL117W	-0.655917	9.44412e-05	5e-05	yes	241.248	153.114
YJL118W	-0.153731	0.00956734	0.00625	yes	48.6624	43.7438
YJL119C	-0.178416	0.510866	0.4576	no	15.5812	13.7687
YJL120W	-0.363495	0.245303	0.20315	no	35.897	27.902
YJL121C	-0.217542	9.44412e-05	5e-05	yes	325.238	279.715
YJL122W	-1.01713	9.44412e-05	5e-05	yes	169.623	83.8106
YJL123C	0.199313	9.44412e-05	5e-05	yes	173.093	198.737
YJL124C	-0.0825652	0.0723122	0.05385	no	314.061	296.592
YJL125C	-0.761508	9.44412e-05	5e-05	yes	35.8231	21.1313
YJL126W	0.0216562	0.719107	0.6781	no	30.5187	30.9803
YJL127C	-0.330817	9.44412e-05	5e-05	yes	15.1169	12.0192
YJL127C-B	0.401517	9.44412e-05	5e-05	yes	1190.69	1572.78
YJL127W-A	-0.590882	9.44412e-05	5e-05	yes	563.85	374.361
YJL128C	-0.0760173	0.0932929	0.0711	no	67.7737	64.2951
YJL129C	-0.00324409	0.946532	0.93785	no	42.5652	42.4696
YJL130C	0.143475	0.00254994	0.00155	yes	73.235	80.8926
YJL131C	0.156196	0.00215875	0.0013	yes	34.4607	38.4011
YJL132W	0.247197	9.44412e-05	5e-05	yes	14.3168	16.9926
YJL133C-A	-0.868187	9.44412e-05	5e-05	yes	858.47	470.3
YJL133W	-0.0958495	0.0381721	0.0273	yes	105.332	98.5613
YJL134W	-0.0947046	0.0377769	0.027	yes	84.277	78.9224
YJL135W	-0.502262	1	1	no	2.40055	1.69479
YJL136C	-0.376296	9.44412e-05	5e-05	yes	13902.3	10710.5
YJL136W-A	-0.111148	1	1	no	100.211	92.7808
YJL137C	0.118558	0.0453719	0.0329	yes	18.1069	19.6577
YJL138C	-0.550602	9.44412e-05	5e-05	yes	1051.04	717.583
YJL139C	0.016022	0.757373	0.7209	no	36.1832	36.5872
YJL140W	0.0406517	0.384839	0.33325	no	278.424	286.381
YJL141C	-0.294906	9.44412e-05	5e-05	yes	94.2414	76.8186
YJL142C	0.353908	0.00239446	0.00145	yes	223.481	285.613
YJL143W	-0.163217	0.00018467	0.0001	yes	645.695	576.626
YJL144W	-0.329815	9.44412e-05	5e-05	yes	176.245	140.227
YJL145W	0.344902	9.44412e-05	5e-05	yes	100.033	127.049
YJL146W	0.313458	9.44412e-05	5e-05	yes	32.6328	40.5522
YJL147C	0.48439	9.44412e-05	5e-05	yes	14.8715	20.8051
YJL148W	-0.913755	9.44412e-05	5e-05	yes	159.819	84.8321
